# Lowrie & Edwards (2008) NLTE analytic IC for Mach 2 radiative shock
# Columns: x(cm)  rho(g/cc)  T_mat(K)  T_rad(K)  vx(cm/s)
# Shock at x = 0; simulation coordinates (downstream left, upstream right)
# 4000 points
-2.5920480120e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5892723181e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5864966242e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5837209302e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5809452363e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5781695424e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5753938485e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5726181545e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5698424606e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5670667667e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5642910728e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5615153788e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5587396849e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5559639910e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5531882971e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5504126032e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5476369092e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5448612153e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5420855214e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5393098275e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5365341335e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5337584396e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5309827457e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5282070518e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5254313578e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5226556639e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5198799700e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5171042761e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5143285821e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5115528882e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5087771943e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5060015004e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5032258065e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.5004501125e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4976744186e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4948987247e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4921230308e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4893473368e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4865716429e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4837959490e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4810202551e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4782445611e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4754688672e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4726931733e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4699174794e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4671417854e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4643660915e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4615903976e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4588147037e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4560390098e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4532633158e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4504876219e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4477119280e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4449362341e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4421605401e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4393848462e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4366091523e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4338334584e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4310577644e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4282820705e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
-2.4255063766e-01  2.2900000000e+00  2.9359430844e+06  2.9359430844e+06  -1.9500000000e+07
