# Mach45 analytic profile (Lowrie & Edwards 2008)
# Np=2000  xmin=1950.0  xmax=2450.0  shock_x=2300.0
# x(cm), rho(g/cc), T_gas(K), Erad(erg/cc), v_x(cm/s)
1989.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1989.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1989.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1989.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1990.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1990.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1990.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1990.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1991.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1991.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1991.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1991.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1992.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1992.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1992.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1992.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1993.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1993.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1993.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1993.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1994.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1994.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1994.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1994.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1995.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1995.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1995.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1995.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1996.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1996.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1996.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1996.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1997.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1997.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1997.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1997.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1998.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1998.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1998.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1998.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1999.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1999.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1999.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
1999.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2000.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2000.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2000.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2000.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2001.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2001.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2001.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2001.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2002.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2002.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2002.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2002.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2003.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2003.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2003.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2003.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2004.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2004.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2004.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2004.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2005.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2005.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2005.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2005.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2006.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2006.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2006.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2006.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2007.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2007.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2007.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2007.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2008.125, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2008.375, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2008.625, 1.0, 1160451.812, 13720169257.024084, 571000000.0
2008.875, 1.0, 1160451.812, 13720169257.024084, 571000000.0
