# Digitized from Steinberg & Heizler 2022 Fig. 9(b) SN reference (black)
# x(cm), T_gas(keV), T_rad(keV), rho(g/cc), vx(cm/s)
# x,T_gas,T_rad,rho,vx
-619.05874,3.8437732,3.9825529,1.0494418,-26801361
-618.07395,3.8711889,4.0103201,1.0506134,-27434031
-617.08915,3.8986046,4.0380873,1.051785,-28066701
-616.10436,3.9261887,4.0660214,1.0530462,-28725077
-615.11957,3.9538121,4.0939944,1.0543283,-29389436
-614.13477,3.9816213,4.1221023,1.0556634,-30069991
-613.14998,4.009667,4.1503816,1.0570656,-30771132
-612.16519,4.0377307,4.1786829,1.0584695,-31475955
-611.18039,4.0660155,4.2072524,1.0598933,-32225786
-610.1956,4.0943002,4.235822,1.061317,-32975617
-609.2108,4.1226673,4.2644583,1.062773,-33733797
-608.22601,4.1514532,4.2934349,1.0643934,-34534464
-607.24122,4.1802391,4.3224114,1.0660138,-35335132
-606.25642,4.209159,4.3514968,1.0676614,-36151930
-605.27163,4.2384503,4.3808838,1.0693845,-37013439
-604.28684,4.2677416,4.4102708,1.0711075,-37874947
-603.30204,4.2971769,4.4398021,1.0728711,-38760417
-602.31725,4.3268491,4.4695705,1.0747015,-39685263
-601.33246,4.3565212,4.499339,1.076532,-40610109
-600.34766,4.3864395,4.5292551,1.0784673,-41562726
-599.36287,4.4165943,4.559313,1.0805035,-42542031
-598.37807,4.4467492,4.5893708,1.0825397,-43521337
-597.39328,4.4772062,4.6196658,1.0846521,-44544992
-596.40849,4.5078189,4.6500829,1.0868038,-45591495
-595.42369,4.5384315,4.6804999,1.0889555,-46637999
-594.4389,4.569433,4.7113044,1.0912876,-47749804
-593.45411,4.6005116,4.7421856,1.0936555,-48874551
-592.46931,4.6316061,4.7730773,1.0960285,-50001425
-591.48452,4.663159,4.8042703,1.0985479,-51189158
-590.49973,4.6947119,4.8354633,1.1010674,-52376890
-589.51493,4.7266019,4.8669019,1.1036952,-53609409
-588.53014,4.7586162,4.8984312,1.1063631,-54858454
-587.54534,4.7908436,4.9301157,1.1090995,-56141337
-586.56055,4.8233295,4.9619887,1.111919,-57465290
-585.57576,4.8558861,4.993931,1.1147936,-58804367
-584.59096,4.8887299,5.0261552,1.1178921,-60204879
-583.60617,4.9215738,5.0583793,1.1209906,-61605390
-582.62138,4.9548931,5.0908297,1.1242438,-63069527
-581.63658,4.9882283,5.1232876,1.1275021,-64535771
-580.65179,5.0219226,5.1559982,1.1308925,-66056599
-579.667,5.0557285,5.1887875,1.1343239,-67594388
-578.6822,5.0898954,5.2218532,1.137936,-69190672
-577.69741,5.1243146,5.2551122,1.1416744,-70827839
-576.71261,5.1588826,5.2884738,1.1454926,-72495670
-575.72782,5.193636,5.3219635,1.1494103,-74201747
-574.74303,5.2285173,5.3555433,1.1534086,-75930663
-573.75823,5.2637658,5.3893818,1.1576384,-77725131
-572.77344,5.2990771,5.423254,1.1618891,-79529479
-571.78865,5.3349386,5.4574202,1.1663229,-81420358
-570.80385,5.3708001,5.4915864,1.1707567,-83311237
-569.81906,5.4071802,5.5261166,1.1755149,-85294529
-568.83427,5.4435691,5.560653,1.1802785,-87279376
-567.84947,5.4803239,5.5954103,1.1854664,-89338826
-566.86468,5.5171216,5.6301935,1.190704,-91407017
-565.87988,5.5543862,5.6651897,1.1961223,-93569959
-564.89509,5.5917414,5.7002273,1.2015756,-95751286
-563.9103,5.6295448,5.7355657,1.2073359,-98010379
-562.9255,5.667453,5.7709744,1.2131679,-1.0028764e+08
-561.94071,5.7058738,5.8067249,1.2193418,-1.026703e+08
-560.95592,5.7444068,5.8425502,1.2255904,-1.0507601e+08
-559.97112,5.7830746,5.8784283,1.2319528,-1.0750728e+08
-558.98633,5.8224141,5.9145694,1.2388825,-1.1006594e+08
-558.00154,5.8617536,5.9507106,1.2458122,-1.1262461e+08
-557.01674,5.9013981,5.9870541,1.2530167,-1.1526546e+08
-556.03195,5.9412681,6.0235471,1.2604243,-1.1796704e+08
-555.04715,5.9811679,6.0600585,1.2678638,-1.2067477e+08
-554.06236,6.0218147,6.0970303,1.2761045,-1.2353675e+08
-553.07757,6.0624615,6.1340022,1.2843453,-1.2639873e+08
-552.09277,6.1035557,6.1711152,1.2929569,-1.2935205e+08
