# Digitized from Steinberg & Heizler 2022, ApJS 258, 14 (arXiv:2108.13453) Fig. 5(f)
# Cylindrical hohlraum radiation temperature along r=0.05 cm at t=10 ns.
# z(cm), T(keV)  DIMC
# z,T_keV
1.105864,0.80410884
1.1093477,0.83778865
1.1128313,0.87146847
1.116315,0.88391197
1.1197987,0.86185642
1.1232823,0.83980087
1.126766,0.82594307
1.1302497,0.82010905
1.1337333,0.81427503
1.137217,0.81559366
1.1407007,0.82094407
1.1441843,0.82629447
1.147668,0.82513379
1.1511517,0.82196027
1.1546353,0.81878676
1.158119,0.81569771
1.1616027,0.81261826
1.1650863,0.80932703
1.16857,0.79677614
1.1720536,0.78422525
1.1755373,0.77395699
1.179021,0.77599015
1.1825046,0.7780233
1.1859883,0.77931789
1.189472,0.77872136
1.1929556,0.77812484
1.1964393,0.78048921
1.199923,0.78702712
1.2034066,0.79356504
1.2068903,0.80026047
1.210374,0.80708521
1.2138576,0.81390994
1.2173413,0.81876473
1.220825,0.82266458
1.2243086,0.82656443
1.2277923,0.81081859
1.2312759,0.7900953
1.2347596,0.76937202
1.2382433,0.75307424
1.2417269,0.73709929
1.2452106,0.72401209
1.2486943,0.75167962
1.2521779,0.77934715
1.2556616,0.8057781
1.2591453,0.82695475
1.2626289,0.84813139
1.2661126,0.8520487
1.2695963,0.82006518
1.2730799,0.78808166
1.2765636,0.77091435
1.2800472,0.77192844
1.2835309,0.77294254
1.2870146,0.79119181
1.2904982,0.82176045
1.2939819,0.85232909
1.2974656,0.84248915
1.3009492,0.81594378
1.3044329,0.78939841
1.3079166,0.78372426
1.3114002,0.78197646
1.3148839,0.78022866
1.3183676,0.77679244
1.3218512,0.7732968
1.3253349,0.77211629
1.3288186,0.79173444
1.3323022,0.81135259
1.3357859,0.82811452
1.3392695,0.83501035
1.3427532,0.84190618
1.3462369,0.84598333
1.3497205,0.84502026
1.3532042,0.84405718
1.3566879,0.83468508
1.3601715,0.8163121
1.3636552,0.79793913
1.3671389,0.77568641
1.3706225,0.751027
1.3741062,0.72636759
1.3775899,0.69886775
1.3810735,0.67037771
1.3845572,0.64188767
1.3880409,0.62635124
1.3915245,0.61265421
1.3950082,0.59895718
