# Digitized from Steinberg & Heizler 2022, ApJS 258, 14 (arXiv:2108.13453) Fig. 5(e)
# Cylindrical hohlraum material temperature along r=0.05 cm at t=10 ns.
# z(cm), T(keV)  McClarren & Urbatsch 2009 reference
# z,T_keV
0.64319405,0.32666489
0.64471634,0.29825217
0.64623863,0.26500637
0.64776093,0.23176057
0.64928322,0.19851477
0.65080551,0.16526896
0.65232781,0.13202316
0.6538501,0.098777363
0.65537239,0.065531562
0.65689469,0.032285761
0.65841698,-6.7630464e-06
0.65993927,-0.00013676376
0.66146156,-0.00013676376
0.66298386,-0.00013676376
0.66450615,-0.00013676376
0.66602844,-0.00013676376
0.66755074,-0.00013676376
0.66907303,-0.00013676376
0.67059532,-0.00013676376
0.67211762,-0.00013676376
0.67363991,-0.00013676376
0.6751622,-0.00013676376
0.67668449,-0.00013676376
0.67820679,-0.00013676376
0.67972908,-0.00013676376
0.68125137,-0.00013676376
0.68277367,-0.00013676376
0.68429596,-0.00013676376
0.68581825,-0.00013676376
0.68734055,-0.00013676376
0.68886284,-0.00013676376
0.69038513,-0.00013676376
0.69190743,-0.00013676376
0.69342972,-0.00013676376
0.69495201,-0.00013676376
0.6964743,-0.00013676376
0.6979966,-0.00013676376
0.69951889,-0.00013676376
0.70104118,-0.00013676376
0.70256348,-0.00013676376
0.70408577,-0.00013676376
0.70560806,-0.00013676376
0.70713036,-0.00013676376
0.70865265,-0.00013676376
0.71017494,-0.00013676376
0.71169723,-0.00013676376
0.71321953,-0.00013676376
0.71474182,-0.00013676376
0.71626411,-0.00013676376
0.71778641,-0.00013676376
0.7193087,-0.00013676376
0.72083099,-0.00013676376
0.72235329,-0.00013676376
0.72387558,-0.00013676376
0.72539787,-0.00013676376
0.72692017,-0.00013676376
0.72844246,-0.00013676376
0.72996475,-0.00013676376
0.73148704,-0.00013676376
0.73300934,-0.00013676376
0.73453163,-0.00013676376
0.73605392,-0.00013676376
0.73757622,-0.00013676376
0.73909851,-0.00013676376
0.7406208,-0.00013676376
0.7421431,-0.00013676376
0.74366539,-0.00013676376
0.74518768,-0.00013676376
0.74670997,-0.00013676376
0.74823227,-0.00013676376
0.74975456,-0.00013676376
0.75127685,-0.00013676376
0.75279915,-0.00013676376
0.75432144,-0.00013676376
0.75584373,-0.00013676376
0.75736603,-0.00013676376
0.75888832,-0.00013676376
0.76041061,-0.00013676376
0.76193291,-0.00013676376
0.7634552,-0.00013676376
0.76497749,-0.00013676376
0.76649978,-0.00013676376
0.76802208,-0.00013676376
0.76954437,-0.00013676376
0.77106666,-0.00013676376
0.77258896,-0.00013676376
0.77411125,-0.00013676376
0.77563354,-0.00013676376
0.77715584,-0.00013676376
0.77867813,-0.00013676376
0.78020042,-0.00013676376
0.78172271,-0.00013676376
0.78324501,-0.00013676376
0.7847673,-0.00013676376
0.78628959,-0.00013676376
0.78781189,-0.00013676376
0.78933418,-0.00013676376
0.79085647,-0.00013676376
0.79237877,-0.00013676376
0.79390106,-0.00013676376
0.79542335,-0.00013676376
0.79694565,-0.00013676376
0.79846794,-0.00013676376
0.79999023,-0.00013676376
0.80151252,-0.00013676376
0.80303482,-0.00013676376
0.80455711,-0.00013676376
0.8060794,-0.00013676376
0.8076017,-0.00013676376
0.80912399,-0.00013676376
0.81064628,-0.00013676376
0.81216858,-0.00013676376
0.81369087,-0.00013676376
0.81521316,-0.00013676376
0.81673545,-0.00013676376
0.81825775,-0.00013676376
0.81978004,-0.00013676376
0.82130233,-0.00013676376
0.82282463,-0.00013676376
0.82434692,-0.00013676376
0.82586921,-0.00013676376
0.82739151,-0.00013676376
0.8289138,-0.00013676376
0.83043609,-0.00013676376
0.83195839,-0.00013676376
0.83348068,-0.00013676376
0.83500297,-0.00013676376
0.83652526,-0.00013676376
0.83804756,-0.00013676376
0.83956985,-0.00013676376
0.84109214,-0.00013676376
0.84261444,-0.00013676376
0.84413673,-0.00013676376
0.84565902,-0.00013676376
0.84718132,-0.00013676376
0.84870361,-0.00013676376
0.8502259,-0.00013676376
0.85174819,-0.00013676376
0.85327049,-0.00013676376
0.85479278,-0.00013676376
0.85631507,-0.00013676376
0.85783737,-0.00013676376
0.85935966,-0.00013676376
0.86088195,-0.00013676376
0.86240425,-0.00013676376
0.86392654,-0.00013676376
0.86544883,-0.00013676376
0.86697113,-0.00013676376
0.86849342,-0.00013676376
0.87001571,-0.00013676376
0.871538,-4.1299187e-05
0.8730603,0.012838466
0.87458259,0.030622124
0.87610488,0.048405782
0.87762718,0.06618944
0.87914947,0.083973098
0.88067176,0.10786407
0.88219406,0.14289952
0.88371635,0.17793496
0.88523864,0.2129704
0.88676093,0.24800585
0.88828323,0.27401814
0.88980552,0.29701842
0.89132781,0.3200187
0.89285011,0.34301899
0.8943724,0.36601927
0.89589469,0.38901955
0.89741699,0.41201983
0.89893928,0.43502011
0.90046157,0.4580204
0.90198387,0.48102068
0.90350616,0.50393152
0.90502845,0.5204988
0.90655074,0.53706609
0.90807304,0.55363337
0.90959533,0.57020066
0.91111762,0.58676794
0.91263992,0.60333523
0.91416221,0.61990251
0.9156845,0.6364698
0.9172068,0.65461677
0.91872909,0.6739604
0.92025138,0.69330403
0.92177367,0.71264765
0.92329597,0.73199128
0.92481826,0.7513349
0.92634055,0.77067853
0.92786285,0.79002215
0.92938514,0.79482963
0.93090743,0.79820229
0.93242973,0.80157494
0.93395202,0.80494759
0.93547431,0.80832025
0.93699661,0.8116929
0.9385189,0.81506555
0.94004119,0.8184382
0.94156348,0.82181086
0.94308578,0.82518351
0.94460807,0.81349386
0.94613036,0.73046616
0.94765266,0.64743846
0.94917495,0.56441076
0.95069724,0.48138306
0.95221954,0.39835536
0.95374183,0.31532766
0.95526412,0.23229997
0.95678642,0.14927227
0.95830871,0.066244566
0.959831,3.3266869e-05
0.96135329,0.00019784112
0.96287559,0.00036241537
0.96439788,0.00052698962
0.96592017,0.00069156386
0.96744247,0.00085613811
0.96896476,0.0010207124
0.97048705,0.0011852866
0.97200935,0.0013498609
0.97353164,0.0015144351
0.97505393,0.0015864351
0.97657622,0.0013484189
0.97809852,0.0011104028
0.97962081,0.00087238658
0.9811431,0.00063437041
0.9826654,0.00039635423
0.98418769,0.00015833805
0.98570998,5.5092757e-05
0.98723228,0.00021966701
0.98875457,0.00038424125
0.99027686,0.0005488155
0.99179916,0.00071338975
0.99332145,0.000877964
0.99484374,0.0010425383
0.99636603,0.0012071125
0.99788833,0.0013716867
0.99941062,0.001536261
1.0009329,0.0017118144
1.0024552,0.0019066702
1.0039775,0.0021015261
1.0054998,0.0022963819
1.0070221,0.0024912378
1.0085444,0.0026860936
1.0100667,0.0028809495
1.011589,0.0030758053
1.0131113,0.0032706612
1.0146336,0.002819181
1.0161558,0.0023265235
1.0176781,0.0018338661
1.0192004,0.0013412086
1.0207227,0.00084855116
1.022245,0.0003558937
1.0237673,-0.00013676376
