# Digitized from Steinberg & Heizler 2022, ApJS 258, 14 (arXiv:2108.13453) Fig. 5(f)
# Cylindrical hohlraum radiation temperature along r=0.05 cm at t=10 ns.
# z(cm), T(keV)  McClarren & Urbatsch 2009 reference
# z,T_keV
1.1930788,0.82886507
1.1965882,0.81419778
1.2000977,0.7996613
1.2036071,0.78908042
1.2071166,0.77849954
1.2106261,0.76791865
1.2141355,0.75968851
1.217645,0.76944876
1.2211544,0.77920902
1.2246639,0.78896927
1.2281733,0.79565265
1.2316828,0.78996062
1.2351923,0.7842686
1.2387017,0.77857657
1.2422112,0.77909351
1.2457206,0.79536642
1.2492301,0.81163932
1.2527395,0.82791223
1.256249,0.83333269
1.2597585,0.81997282
1.2632679,0.80661295
1.2667774,0.79325308
1.2702868,0.7798932
1.2737963,0.77521311
1.2773058,0.78010546
1.2808152,0.78499781
1.2843247,0.788094
1.2878341,0.7845076
1.2913436,0.78092119
1.294853,0.77733479
1.2983625,0.77374839
1.301872,0.77413659
1.3053814,0.78292605
1.3088909,0.79171552
1.3124003,0.80010775
1.3159098,0.80198324
1.3194192,0.80385873
1.3229287,0.80573422
1.3264382,0.80760971
1.3299476,0.80287176
1.3334571,0.79658016
1.3369665,0.79028855
1.340476,0.78399695
1.3439854,0.77968722
1.3474949,0.7813129
1.3510044,0.78293857
1.3545138,0.78456424
1.3580233,0.78618992
1.3615327,0.78059294
1.3650422,0.76157634
1.3685516,0.74255975
1.3720611,0.72255366
1.3755706,0.70116663
1.37908,0.67977961
1.3825895,0.65839259
1.3860989,0.63427363
1.3896084,0.5967925
1.3931178,0.55931136
1.3966273,0.52183023
1.4001368,0.48434909
