# time = 2.000000000000e-09
# x  density  temperature  T_rad  velocity_x  pressure  mass_coord
8.609049406469e-04 4.364458086845e+01 6.209592029004e+04 6.209223430991e+04 3.220421076061e+05 2.019558966361e+12 1.675559358086e-03
8.621496887189e-04 4.485665753430e+01 6.137015323592e+04 6.136510997132e+04 3.225673283160e+05 2.029169015837e+12 1.732022537251e-03
8.634224344714e-04 4.566622990496e+01 6.095245855475e+04 6.094518323786e+04 3.234173886815e+05 2.038230748950e+12 1.790280452169e-03
8.647011546506e-04 4.664501387562e+01 6.044185346610e+04 6.043923170449e+04 3.242284964180e+05 2.047993060433e+12 1.849357019742e-03
8.659554626630e-04 4.765112401618e+01 5.991189166395e+04 5.990999929611e+04 3.249605770954e+05 2.056739591478e+12 1.908531674821e-03
8.671848171581e-04 4.852650077448e+01 5.945557276802e+04 5.945732763223e+04 3.255464680875e+05 2.063790337100e+12 1.967880418311e-03
8.684014969965e-04 4.925467821821e+01 5.906495326752e+04 5.906439180643e+04 3.259258796902e+05 2.068464966255e+12 2.027553174180e-03
8.696078461181e-04 4.990357361624e+01 5.866447632868e+04 5.866538571669e+04 3.259740684567e+05 2.069231501890e+12 2.087347450276e-03
8.707978895497e-04 5.053787915398e+01 5.825648474796e+04 5.825506298068e+04 3.259732861251e+05 2.068602377019e+12 2.147000655540e-03
8.719685785534e-04 5.110596256436e+01 5.787980039750e+04 5.787861558847e+04 3.258741393032e+05 2.067018387486e+12 2.206560208718e-03
8.731287155508e-04 5.157230754086e+01 5.754276560854e+04 5.754023159155e+04 3.256599997080e+05 2.063853957859e+12 2.266261233623e-03
8.742838142972e-04 5.200767221882e+01 5.720548110100e+04 5.720397248748e+04 3.253386027062e+05 2.059367020512e+12 2.326125963898e-03
8.754308655114e-04 5.248598100203e+01 5.682778687882e+04 5.682612460637e+04 3.249284715723e+05 2.053761419124e+12 2.385950922830e-03
8.765634690847e-04 5.297553676411e+01 5.643674800838e+04 5.643644048759e+04 3.244665248440e+05 2.047479358357e+12 2.445574188516e-03
8.776818390486e-04 5.339623408836e+01 5.609377478184e+04 5.609377899890e+04 3.240311606995e+05 2.041447213730e+12 2.505144787850e-03
8.787947350288e-04 5.375351992154e+01 5.581641551217e+04 5.581606527972e+04 3.237632740500e+05 2.036969836038e+12 2.564904251271e-03
8.799053013821e-04 5.416772674032e+01 5.556393330990e+04 5.556333224621e+04 3.237156739618e+05 2.035641249895e+12 2.624794298147e-03
8.810060165605e-04 5.468660246330e+01 5.527650065460e+04 5.527465646107e+04 3.238192182448e+05 2.035438689960e+12 2.684571962233e-03
8.820914918344e-04 5.530989895468e+01 5.496432812761e+04 5.496236752143e+04 3.240165016819e+05 2.036833314767e+12 2.744188248539e-03
8.831617350641e-04 5.595122175525e+01 5.467970930644e+04 5.467750571901e+04 3.243668190426e+05 2.040110528713e+12 2.803748305641e-03
8.842204911747e-04 5.652999680474e+01 5.446144859581e+04 5.445987430227e+04 3.248412476555e+05 2.045116988842e+12 2.863401197450e-03
8.852722213610e-04 5.707255154732e+01 5.428844551190e+04 5.428846758340e+04 3.254093690897e+05 2.051515802743e+12 2.923198079786e-03
8.863159602124e-04 5.766750759156e+01 5.410837088752e+04 5.410773393748e+04 3.260392423601e+05 2.058920118478e+12 2.983011140371e-03
8.873466325184e-04 5.836609790554e+01 5.389062768792e+04 5.389169796415e+04 3.267051199979e+05 2.066973469474e+12 3.042742300574e-03
8.883627360753e-04 5.912925901441e+01 5.365163066791e+04 5.365191918147e+04 3.273911805991e+05 2.075383337303e+12 3.102381599694e-03
8.893638842180e-04 5.985957176551e+01 5.343577926018e+04 5.343913046968e+04 3.280874967845e+05 2.083924037910e+12 3.162002170502e-03
8.903547506872e-04 6.049110135144e+01 5.327042499096e+04 5.327468823382e+04 3.287805284356e+05 2.092416275460e+12 3.221720529109e-03
8.913383352454e-04 6.105541814790e+01 5.313585718924e+04 5.314428675934e+04 3.294495956698e+05 2.100674067605e+12 3.281556479137e-03
8.923148044168e-04 6.163974046156e+01 5.298687606474e+04 5.299759236294e+04 3.300738500906e+05 2.108458912357e+12 3.341451156535e-03
8.932817138823e-04 6.230663669311e+01 5.279051691965e+04 5.280296255564e+04 3.306335965426e+05 2.115458533508e+12 3.401253642550e-03
8.942344229098e-04 6.300803668227e+01 5.255888278230e+04 5.257297007264e+04 3.310613985957e+05 2.120947227942e+12 3.460880841479e-03
8.951743993894e-04 6.358508024432e+01 5.232686861179e+04 5.234142694704e+04 3.311680542915e+05 2.122563218615e+12 3.520443793185e-03
8.961079112022e-04 6.402532561872e+01 5.213809797777e+04 5.215316605458e+04 3.311472655109e+05 2.122884600396e+12 3.580128255380e-03
8.970388010654e-04 6.434992302792e+01 5.199169110370e+04 5.200724641443e+04 3.310884897056e+05 2.122565814289e+12 3.640021422721e-03
8.979693949313e-04 6.465464699356e+01 5.184099723580e+04 5.185706702973e+04 3.309356432242e+05 2.121332199608e+12 3.700054516098e-03
8.988958398451e-04 6.502712780876e+01 5.164340961987e+04 5.166004517369e+04 3.306797544395e+05 2.118852534692e+12 3.759993244096e-03
8.998128940990e-04 6.547251798643e+01 5.139937122222e+04 5.141654538070e+04 3.303331951496e+05 2.115235932880e+12 3.819668583573e-03
9.007187524598e-04 6.591999427974e+01 5.114338542695e+04 5.116100258184e+04 3.299171744038e+05 2.110733790562e+12 3.879182198332e-03
9.016185257714e-04 6.628729100538e+01 5.091751451033e+04 5.093512567035e+04 3.294742068705e+05 2.105877450754e+12 3.938764743901e-03
9.025164589180e-04 6.656593213926e+01 5.073872710236e+04 5.075602804029e+04 3.290837542534e+05 2.101626770384e+12 3.998538010672e-03
9.034144374292e-04 6.682373801561e+01 5.059887034182e+04 5.061585102376e+04 3.288259791500e+05 2.099332939695e+12 4.058483062204e-03
9.043105833808e-04 6.717087811882e+01 5.045531396681e+04 5.047216097180e+04 3.287564806476e+05 2.099144285551e+12 4.118452362171e-03
9.052000118223e-04 6.764002832715e+01 5.028221985319e+04 5.029914954784e+04 3.287554026949e+05 2.100167375206e+12 4.178263384549e-03
9.060790930593e-04 6.820233429642e+01 5.008800076350e+04 5.010482490568e+04 3.288434232745e+05 2.102116637347e+12 4.237863576663e-03
9.069477582222e-04 6.881909341840e+01 4.989602379863e+04 4.991136361063e+04 3.290405346386e+05 2.105478173735e+12 4.297345914426e-03
9.078077510468e-04 6.941537447928e+01 4.973373754803e+04 4.974571897121e+04 3.293452859198e+05 2.110129855044e+12 4.356874078812e-03
9.086628873224e-04 6.994022947066e+01 4.961695028072e+04 4.962510934989e+04 3.297469424865e+05 2.115869704403e+12 4.416582640811e-03
9.095151678640e-04 7.040690383649e+01 4.953533688753e+04 4.953906736373e+04 3.302277007677e+05 2.122407900257e+12 4.476462745372e-03
9.103638598492e-04 7.088792878112e+01 4.945676178714e+04 4.945572982978e+04 3.307663308393e+05 2.129456626482e+12 4.536435341422e-03
9.112072075971e-04 7.144810456922e+01 4.935384082816e+04 4.934921375811e+04 3.313406575339e+05 2.136786297783e+12 4.596367771513e-03
9.120415091151e-04 7.211536806987e+01 4.921474458866e+04 4.920787674467e+04 3.319303616071e+05 2.144232399637e+12 4.656127908703e-03
9.128645557821e-04 7.283744355749e+01 4.905814510705e+04 4.905007047792e+04 3.325203844595e+05 2.151683467128e+12 4.715712271054e-03
9.136776006483e-04 7.354678219291e+01 4.890767239801e+04 4.889906946699e+04 3.331010454500e+05 2.159053981163e+12 4.775227140270e-03
9.144829778923e-04 7.415842475018e+01 4.879182163161e+04 4.878273478637e+04 3.336646001628e+05 2.166251253275e+12 4.834858287611e-03
9.152858103033e-04 7.465930143867e+01 4.871231625180e+04 4.870299163895e+04 3.342018510904e+05 2.173150329052e+12 4.894716134793e-03
9.160864712555e-04 7.507841294350e+01 4.865493499106e+04 4.864569152681e+04 3.346950752193e+05 2.179523492663e+12 4.954722359571e-03
9.168843050617e-04 7.551183079755e+01 4.857981464513e+04 4.857130036080e+04 3.351156593131e+05 2.184931437397e+12 5.014765711480e-03
9.176767744246e-04 7.598405593488e+01 4.846946595363e+04 4.846399891285e+04 3.354218161934e+05 2.188699049230e+12 5.074722044398e-03
9.184624343726e-04 7.648125123488e+01 4.831479655891e+04 4.831397760436e+04 3.355172387063e+05 2.189783015177e+12 5.134511523765e-03
9.192402812554e-04 7.698555406547e+01 4.813831217839e+04 4.814345547102e+04 3.355278280708e+05 2.189338269719e+12 5.194137864364e-03
9.200114611043e-04 7.745045807281e+01 4.797035382817e+04 4.797774630229e+04 3.354852978759e+05 2.188430984041e+12 5.253724461309e-03
9.207789835027e-04 7.780826783780e+01 4.782516439103e+04 4.783853622257e+04 3.353731713284e+05 2.186492767063e+12 5.313389498708e-03
9.215451037121e-04 7.801957487928e+01 4.771557797400e+04 4.773167198469e+04 3.351865129126e+05 2.183569042402e+12 5.373223257027e-03
9.223127975080e-04 7.814766260892e+01 4.762180349320e+04 4.763803631575e+04 3.349314531121e+05 2.179779900316e+12 5.433240018395e-03
9.230810872429e-04 7.826946603909e+01 4.752261563672e+04 4.753864141585e+04 3.346266053108e+05 2.175432061718e+12 5.493316212047e-03
9.238479093899e-04 7.847919621664e+01 4.739255612537e+04 4.740851331906e+04 3.342983060053e+05 2.170904259718e+12 5.553288665887e-03
9.246094528921e-04 7.878042345401e+01 4.723873087512e+04 4.725470345698e+04 3.339916720766e+05 2.166768181170e+12 5.613110647976e-03
9.253666111045e-04 7.918419522138e+01 4.707635422497e+04 4.709234393848e+04 3.337914265393e+05 2.164358407234e+12 5.672831725970e-03
9.261178619333e-04 7.966601870356e+01 4.692032228640e+04 4.693632992158e+04 3.337541134003e+05 2.164153216433e+12 5.732441578789e-03
9.268631049368e-04 8.009767797831e+01 4.679181631733e+04 4.680772148883e+04 3.337575663009e+05 2.164714021083e+12 5.792041486416e-03
9.276060425930e-04 8.045644438385e+01 4.669760357167e+04 4.671195827167e+04 3.338265573078e+05 2.166053689941e+12 5.851770483825e-03
9.283478585291e-04 8.076278008929e+01 4.663769437997e+04 4.664648497375e+04 3.339850442882e+05 2.168685357529e+12 5.911687727977e-03
9.290898261895e-04 8.109893026124e+01 4.658538279331e+04 4.659074075107e+04 3.342310852146e+05 2.172541222373e+12 5.971730347942e-03
9.298285838549e-04 8.151478300031e+01 4.652359221814e+04 4.652649766775e+04 3.345525675495e+05 2.177489235648e+12 6.031757084763e-03
9.305626078031e-04 8.205885300706e+01 4.643555413850e+04 4.643327909877e+04 3.349326748882e+05 2.183355429406e+12 6.091663426657e-03
9.312886662152e-04 8.269431640011e+01 4.633077284190e+04 4.632372814642e+04 3.353533798164e+05 2.189958517156e+12 6.151435849452e-03
9.320082312848e-04 8.338681900799e+01 4.621780599719e+04 4.620915402491e+04 3.357983147829e+05 2.197122332244e+12 6.211139850294e-03
9.327206431524e-04 8.410071981126e+01 4.610529295018e+04 4.609638228339e+04 3.362539011944e+05 2.204674903802e+12 6.270742147440e-03
9.334256340676e-04 8.474684384861e+01 4.601729948365e+04 4.600837472924e+04 3.367103639690e+05 2.212460838629e+12 6.330346546738e-03
9.341272890307e-04 8.529895312468e+01 4.595914859070e+04 4.595029364775e+04 3.371619903485e+05 2.220354353217e+12 6.390060333855e-03
9.348257400461e-04 8.574394491501e+01 4.593249480470e+04 4.592376409981e+04 3.376048574408e+05 2.228243147205e+12 6.449952818158e-03
9.355242969328e-04 8.616639616422e+01 4.591107660612e+04 4.590244159069e+04 3.380352040507e+05 2.236012002651e+12 6.509989226504e-03
9.362192393920e-04 8.662503403624e+01 4.587671029922e+04 4.586809341576e+04 3.384487187656e+05 2.243553947560e+12 6.570026185279e-03
9.369104310785e-04 8.717685042121e+01 4.581208191251e+04 4.580342191476e+04 3.388396998104e+05 2.250756970514e+12 6.629986670916e-03
9.375948450797e-04 8.779196157186e+01 4.572285284056e+04 4.571412863839e+04 3.391933763390e+05 2.257355437766e+12 6.689826355773e-03
9.382736466574e-04 8.843595285289e+01 4.561311937646e+04 4.560435111458e+04 3.394773522254e+05 2.262872085326e+12 6.749580529451e-03
9.389461998568e-04 8.903508875419e+01 4.549676913725e+04 4.548817125202e+04 3.396515684439e+05 2.266767973828e+12 6.809244720561e-03
9.396138865997e-04 8.952416109963e+01 4.538162255720e+04 4.537542438556e+04 3.397026401984e+05 2.268256702070e+12 6.868882399454e-03
9.402785257487e-04 8.990261582993e+01 4.528428589338e+04 4.528511312642e+04 3.396586783651e+05 2.268693297697e+12 6.928567024007e-03
9.409416482895e-04 9.013844320843e+01 4.521356520273e+04 4.521772145280e+04 3.395762541594e+05 2.268131339384e+12 6.988346783605e-03
9.416049245076e-04 9.026606342823e+01 4.516029207573e+04 4.516309045873e+04 3.394331779616e+05 2.266613170072e+12 7.048278515545e-03
9.422695389643e-04 9.036752598539e+01 4.510104184821e+04 4.511066657997e+04 3.392299201201e+05 2.264043279810e+12 7.108342478668e-03
9.429342507775e-04 9.049702868117e+01 4.502217441659e+04 4.503573165347e+04 3.389702924704e+05 2.260494262602e+12 7.168399488890e-03
9.435968092868e-04 9.070376925193e+01 4.491433685943e+04 4.492854190735e+04 3.386718302343e+05 2.256260929432e+12 7.228344207745e-03
9.442560198583e-04 9.096686723395e+01 4.478955328534e+04 4.480376363331e+04 3.383672639024e+05 2.251841935796e+12 7.288164804791e-03
9.449120265492e-04 9.127669380551e+01 4.465729321163e+04 4.467143550051e+04 3.380944195227e+05 2.247775307946e+12 7.347902508996e-03
9.455649564930e-04 9.163385652449e+01 4.452716696366e+04 4.454121817291e+04 3.378953006178e+05 2.244831667417e+12 7.407561453645e-03
9.462141423154e-04 9.202492999326e+01 4.441918630315e+04 4.443308761034e+04 3.378566941132e+05 2.244332673947e+12 7.467232476019e-03
9.468618012149e-04 9.236202626619e+01 4.433183197617e+04 4.434556421426e+04 3.378840703344e+05 2.244321151237e+12 7.526930722315e-03
9.475068434115e-04 9.261636535833e+01 4.427668244223e+04 4.429019401462e+04 3.379582152914e+05 2.245159063906e+12 7.586713899012e-03
9.481527863765e-04 9.284393708726e+01 4.424166415438e+04 4.425493590165e+04 3.381149045884e+05 2.247056162592e+12 7.646626385386e-03
9.487974497398e-04 9.311060447147e+01 4.420956918783e+04 4.422265079075e+04 3.383432734823e+05 2.249991441654e+12 7.706635729995e-03
9.494417769259e-04 9.347323994087e+01 4.416495857974e+04 4.417795759511e+04 3.386346481401e+05 2.253881852705e+12 7.766675135989e-03
9.500820827755e-04 9.395627219489e+01 4.410059186334e+04 4.411364569413e+04 3.389782523276e+05 2.258618002999e+12 7.826591196641e-03
9.507171800311e-04 9.452886874809e+01 4.402300463293e+04 4.403612794079e+04 3.393617659791e+05 2.264062819961e+12 7.886399633144e-03
9.513474832251e-04 9.515773291145e+01 4.393911212696e+04 4.395225585556e+04 3.397730685857e+05 2.270071339593e+12 7.946155547454e-03
9.519731139942e-04 9.582207617359e+01 4.385252134420e+04 4.386567910297e+04 3.402009921503e+05 2.276497897607e+12 8.005841522448e-03
9.525932499080e-04 9.646724448868e+01 4.377511192145e+04 4.378825099107e+04 3.406361028406e+05 2.283210028816e+12 8.065473757451e-03
9.532094348888e-04 9.707358256293e+01 4.371026861092e+04 4.372332775066e+04 3.410712857015e+05 2.290108287153e+12 8.125138440721e-03
9.538225170618e-04 9.757547808336e+01 4.367269790105e+04 4.368535502322e+04 3.415011254976e+05 2.297124712327e+12 8.184910817876e-03
9.544345865013e-04 9.799090753431e+01 4.365682838035e+04 4.366641757174e+04 3.419216252917e+05 2.304192767604e+12 8.244763671826e-03
9.550441172174e-04 9.836021931546e+01 4.365172694673e+04 4.365485160538e+04 3.423304156056e+05 2.311226965853e+12 8.304681243754e-03
9.556529158695e-04 9.875278986262e+01 4.363965180247e+04 4.365305965100e+04 3.427259371278e+05 2.318131413275e+12 8.364704416737e-03
9.562597420735e-04 9.923163592544e+01 4.360456463716e+04 4.362002070971e+04 3.431036651137e+05 2.324801116615e+12 8.424731410739e-03
9.568627516934e-04 9.977855696820e+01 4.354965765089e+04 4.355358215887e+04 3.434556744784e+05 2.331112046254e+12 8.484642775712e-03
9.574606286526e-04 1.003884593403e+02 4.347505878870e+04 4.348257761953e+04 3.437759724853e+05 2.336941771577e+12 8.544462592043e-03
9.580545184905e-04 1.009995999404e+02 4.339307899954e+04 4.340473556857e+04 3.440530400177e+05 2.342087937368e+12 8.604243150575e-03
9.586444067778e-04 1.015767953993e+02 4.330489939177e+04 4.331728234618e+04 3.442498268170e+05 2.345946364966e+12 8.663989783473e-03
9.592309019876e-04 1.020566344205e+02 4.320933358189e+04 4.322168536989e+04 3.443039882664e+05 2.347162324852e+12 8.723653226068e-03
9.598136290030e-04 1.024454367324e+02 4.312351552216e+04 4.313570163360e+04 3.442825932946e+05 2.347371637716e+12 8.783310251981e-03
9.603955614945e-04 1.027250575036e+02 4.305536118727e+04 4.306730932546e+04 3.442337638860e+05 2.346933720888e+12 8.843096712600e-03
9.609776382929e-04 1.028674681977e+02 4.300800924104e+04 4.301979995789e+04 3.441246991988e+05 2.345598182480e+12 8.902928237887e-03
9.615588354884e-04 1.029045602448e+02 4.297282082524e+04 4.298415734697e+04 3.439521360878e+05 2.343254729869e+12 8.962800628260e-03
9.621412872163e-04 1.029303188249e+02 4.293006925944e+04 4.294133695875e+04 3.437215771014e+05 2.340029562799e+12 9.022780544566e-03
9.627242825013e-04 1.029808469677e+02 4.287429013922e+04 4.288536368508e+04 3.434465999811e+05 2.336152617582e+12 9.082816969967e-03
9.633072598640e-04 1.031165789757e+02 4.279602687697e+04 4.280674247574e+04 3.431500301689e+05 2.331973320158e+12 9.142813407277e-03
