# Digitized from Steinberg & Heizler 2022 Fig. 9(a) DIMC (green)
# x(cm), T_gas(keV), T_rad(keV), rho(g/cc), vx(cm/s)
# x,T_gas,T_rad,rho,vx
-0.16742792,0.26455262,0.24361958,1.9893116,-16434684
-0.16730415,0.26438931,0.24386325,1.9957668,-16484586
-0.16718038,0.26420918,0.24437991,2.0018978,-16535742
-0.1670566,0.26401064,0.24478966,2.0077014,-16586203
-0.16693283,0.2638202,0.24427635,2.0135502,-16635045
-0.16680905,0.26365717,0.24434837,2.0194431,-16681319
-0.16668528,0.26347668,0.24610971,2.0253102,-16724912
-0.16656151,0.26330892,0.24580889,2.030808,-16769071
-0.16643773,0.26312132,0.24570546,2.0361642,-16814344
-0.16631396,0.26293776,0.24536195,2.0415607,-16857348
-0.16619018,0.26276388,0.24745625,2.046853,-16897029
-0.16606641,0.26261067,0.24615338,2.0519032,-16936767
-0.16594264,0.26243729,0.24645851,2.0569084,-16976748
-0.16581886,0.2622711,0.24682952,2.0617318,-17015946
-0.16569509,0.2621021,0.24594042,2.0666232,-17051889
-0.16557131,0.26195259,0.24703489,2.0712064,-17087883
-0.16544754,0.26178292,0.2478068,2.0758425,-17123533
-0.16532377,0.26163936,0.24850947,2.0802882,-17157625
-0.16519999,0.26148952,0.24800781,2.084641,-17191876
-0.16507622,0.2613337,0.24820367,2.0889349,-17225473
-0.16495245,0.26117268,0.2487746,2.0932084,-17257500
-0.16482867,0.26103031,0.24995556,2.097306,-17289090
-0.1647049,0.26087752,0.24877678,2.1013993,-17319121
-0.16458112,0.26073397,0.24835259,2.1053657,-17349344
-0.16445735,0.26059574,0.24931233,2.1092555,-17378826
-0.16433358,0.26046133,0.25080266,2.1129963,-17406899
-0.1642098,0.26032351,0.25020927,2.1167041,-17434176
-0.16408603,0.26019117,0.24872698,2.120295,-17461152
-0.16396225,0.26005779,0.24940972,2.1237793,-17488391
-0.16383848,0.25992415,0.2509576,2.1272726,-17513471
-0.16371471,0.2597949,0.25089739,2.1307612,-17537469
-0.16359093,0.25966793,0.24911704,2.1341438,-17561554
-0.16346716,0.25953316,0.24899394,2.1374731,-17585612
-0.16334339,0.25940501,0.24981326,2.1406601,-17609708
-0.16321961,0.25929252,0.25068936,2.1437719,-17632366
-0.16309584,0.25917942,0.2504892,2.1468009,-17654322
-0.16297206,0.25906416,0.25024717,2.1497101,-17676278
-0.16284829,0.25894214,0.25121843,2.1527912,-17698347
-0.16272452,0.25881907,0.2507461,2.1557119,-17718474
-0.16260074,0.25870844,0.25077605,2.1585234,-17738461
-0.16247697,0.25861456,0.25095861,2.1612003,-17758357
-0.16235319,0.25850661,0.25186358,2.1639766,-17776138
-0.16222942,0.25839763,0.25073742,2.1665539,-17795989
-0.16210565,0.2582916,0.25116537,2.169195,-17813782
-0.16198187,0.25820736,0.25157021,2.1715507,-17831180
-0.1618581,0.25812239,0.25198523,2.1740292,-17847257
-0.16173432,0.25801997,0.25149498,2.1764995,-17864427
-0.16161055,0.25792874,0.25176764,2.1787667,-17880064
-0.16148678,0.2578329,0.25149365,2.1810741,-17895756
-0.161363,0.25774003,0.25150606,2.1833514,-17911370
-0.16123923,0.25765003,0.25205951,2.1856424,-17925912
-0.16111546,0.25756728,0.25240664,2.1878091,-17940601
-0.16099168,0.25747624,0.25153701,2.1899244,-17954886
-0.16086791,0.25738715,0.25199472,2.192049,-17969902
-0.16074413,0.25730624,0.25173769,2.1941782,-17984007
-0.16062036,0.25722779,0.25190944,2.1961072,-17997456
-0.16049659,0.257149,0.25085922,2.1979981,-18010964
-0.16037281,0.25707744,0.2534415,2.1997812,-18024485
-0.16024904,0.25699866,0.2525744,2.2016662,-18037886
-0.16012526,0.25692066,0.25116219,2.2034419,-18049161
-0.16000149,0.25685077,0.25226391,2.2052037,-18060909
-0.15987772,0.2567836,0.25239375,2.2068625,-18073884
-0.15975394,0.25670422,0.25276295,2.2085676,-18085226
