# Digitized from Steinberg & Heizler 2022 Fig. 9(a) analytic (magenta)
# x(cm), T_gas(keV), T_rad(keV), rho(g/cc), vx(cm/s)
# x,T_gas,T_rad,rho,vx
-0.16532377,0.2504284,0.23108316,1.944524,-16859041
-0.16519999,0.25023129,0.23136475,1.9503989,-16907422
-0.16507622,0.25003418,0.23164634,1.9562738,-16955804
-0.16495245,0.2498411,0.23191423,1.9619038,-17002049
-0.16482867,0.24964963,0.23217661,1.967435,-17047434
-0.1647049,0.24945816,0.23243899,1.9729663,-17092819
-0.16458112,0.24927184,0.23268875,1.978236,-17134986
-0.16445735,0.24908734,0.23293402,1.9834128,-17176010
-0.16433358,0.24890285,0.23317929,1.9885895,-17217033
-0.1642098,0.24872124,0.23341404,1.9936316,-17257083
-0.16408603,0.24854257,0.23363814,1.9985376,-17296149
-0.16396225,0.24836542,0.2338607,2.0033956,-17334625
-0.16383848,0.24819543,0.23407601,2.0080276,-17370321
-0.16371471,0.24802545,0.23429132,2.0126596,-17406017
-0.16359093,0.24786024,0.23449598,2.0171171,-17440494
-0.16346716,0.24769714,0.23469591,2.0214971,-17474430
-0.16334339,0.24753418,0.23489555,2.0258716,-17508317
-0.16321961,0.24737838,0.23508056,2.0299613,-17539720
-0.16309584,0.24722258,0.23526557,2.034051,-17571123
-0.16297206,0.24706791,0.23544885,2.0381091,-17602182
-0.16284829,0.24692073,0.23562055,2.0419556,-17630948
-0.16272452,0.24677356,0.23579225,2.0458022,-17659714
-0.16260074,0.24662639,0.23596395,2.0496488,-17688479
-0.16247697,0.24648585,0.23612334,2.0532118,-17715657
-0.16235319,0.24634548,0.23628243,2.0567679,-17742796
-0.16222942,0.24621158,0.23643418,2.0601916,-17768050
-0.16210565,0.24608018,0.2365831,2.0635642,-17792578
-0.16198187,0.24595011,0.23672859,2.0668719,-17816796
-0.1618581,0.24582295,0.23686657,2.0700372,-17840333
-0.16173432,0.2456958,0.23700455,2.0732026,-17863871
-0.16161055,0.24557541,0.23713698,2.0761996,-17885620
-0.16148678,0.24545773,0.23726717,2.079129,-17906651
-0.161363,0.24534005,0.23739736,2.0820584,-17927683
